oa=0,
oa=0,
oa=0,
oa=0,
oa=0,
oa=0,
oa=0,
oa=0,
oa=0,
oka=0,奡
baa=0,巴
baa=0,犮
bla=0,百
bza=0,北
bza=0,贝
bza=0,貝
bfa=0,本
boa=0,癶
cka=0,曺
cka=0,艹
cka=0,屮
ifa=0,臣
iga=0,丞
iia=0,尺
isa=0,虫
o丒a=0,丒
iua=0,豖
ira=0,串
cia=0,朿
csa=0,丛
dma=0,电
dia=0,弔
dsa=0,东
dsa=0,東
dba=0,鬥
dua=0,蠹
doa=0,夛
faa=0,发
fza=0,非
fga=0,丰
fua=0,夫
fua=0,乀
fua=0,弗
gja=0,甘
gja=0,敢
gka=0,櫜
gea=0,革
gfa=0,艮
gsa=0,廾
gba=0,冓
gra=0,卝
gva=0,归
goa=0,果
hza=0,黑
hua=0,互
hda=0,黄
hva=0,彚
jia=0,丌
jia=0,击
jia=0,亟
jia=0,戢
jia=0,彐
jia=0,彑
jwa=0,夹
jwa=0,戛
jwa=0,戞
jwa=0,甲
jma=0,戋
jma=0,柬
jma=0,见
jxa=0,孑
jna=0,兓
jna=0,晉
j;a=0,巠
j;a=0,井
jqa=0,丩
jua=0,巨
jta=0,孓
hra=0,巜
kva=0,亏
lla=0,来
lla=0,來
lka=0,耂
lza=0,耒
lia=0,里
lia=0,隶
lna=0,临
lqa=0,畱
lua=0,鹵
lua=0,录
lua=0,彔
mha=0,尨
mka=0,矛
mfa=0,門
mia=0,糸
mma=0,面
mna=0,民
mua=0,目
nha=0,嚢
nha=0,囊
nka=0,夒
nza=0,内
nma=0,卄
nma=0,廿
o肀a=0,肀
pja=0,爿
pia=0,皮
p;a=0,平
qia=0,亓
qia=0,其
qqa=0,蟗
qqa=0,巯
qqa=0,巰
qua=0,曲
qra=0,犬
rja=0,冉
ria=0,日
rba=0,禸
rba=0,肉
saa=0,卅
uha=0,上
ufa=0,申
ova=0,尸
ova=0,师
ova=0,石
ova=0,史
ova=0,豕
ova=0,士
ova=0,示
ova=0,世
pia=0,疋
uua=0,疏
uua=0,束
uya=0,帅
sia=0,厶
sia=0,罒
sia=0,四
sua=0,肃
sua=0,粛
tia=0,扌
t;a=0,聼
tra=0,彖
toa=0,橐
wza=0,韋
wza=0,未
wua=0,无
wua=0,戊
xia=0,覀
xwa=0,夏
j;a=0,坙
yja=0,严
yha=0,央
yea=0,页
yea=0,曳
yea=0,曵
xxa=0,頁
fua=0,乁
yia=0,夷
yia=0,頥
yia=0,彛
yia=0,彝
yia=0,乙
yia=0,弋
wha=0,尢
yba=0,尤
yua=0,禺
yua=0,予
yua=0,玉
yra=0,元
yta=0,曰
yta=0,曱
zka=0,栆
iga=0,氶
via=0,直
via=0,彘
vsa=0,中
vra=0,专
hva=0,叀
o専a=0,専
vra=0,專
o兀a=0,兀
okaa=0,凹
biaa=0,畢
ceaa=0,冊
ijaa=0,丳
oxaa=0,车
oxaa=0,車
ibaa=0,丑
iraa=0,巛
d;aa=0,丁
dbaa=0,豆
oeaa=0,而
oeaa=0,耳
oeaa=0,二
fuaa=0,巿
gjaa=0,干
geaa=0,鬲
gfaa=0,亘
gfaa=0,亙
gsaa=0,工
graa=0,毌
graa=0,丱
jdaa=0,畺
jnaa=0,巾
jtaa=0,亅
kbaa=0,口
leaa=0,了
maaa=0,马
mkaa=0,戼
miaa=0,芈
mnaa=0,皿
nxaa=0,帇
nuaa=0,女
qxaa=0,且
rjaa=0,冄
sjaa=0,三
ujaa=0,山
ovaa=0,十
ovaa=0,丗
ovaa=0,亊
ovaa=0,事
siaa=0,丝
tmaa=0,田
tuaa=0,凸
tuaa=0,土
wjaa=0,卐
wjaa=0,卍
whaa=0,王
wzaa=0,囗
wzaa=0,韦
wuaa=0,五
xiaa=0,西
xiaa=0,匸
xiaa=0,卌
yaaa=0,襾
yaaa=0,亜
yaaa=0,亞
yeaa=0,业
yiaa=0,一
ybaa=0,由
ybaa=0,酉
yuaa=0,于
yuaa=0,与
yuaa=0,聿
zlaa=0,再
ybaa=0,甴
viaa=0,止
ziaa=0,子
piab=0,丕
qqab=0,丠
xwab=0,下
klac=0,开
obac=0,夀
buad=0,卜
buad=0,不
ihad=0,镸
ihad=0,長
igad=0,承
iuad=0,亍
cpad=0,寸
daad=0,大
dlad=0,歹
fuad=0,甫
gead=0,戈
ggad=0,更
jxad=0,疌
gyad=0,夬
liad=0,吏
liad=0,丽
ldad=0,两
lsad=0,龙
maad=0,馬
moad=0,末
muad=0,母
muad=0,木
qqad=0,求
uuad=0,书
uvad=0,水
tmad=0,天
waad=0,瓦
xcad=0,小
ykad=0,幺
ybad=0,又
yuad=0,雨
zead=0,夨
vhad=0,丈
wuae=0,兀
miaf=0,羋
glag=0,丐
gsag=0,弓
jiag=0,己
jiag=0,旡
kkag=0,丂
mmag=0,丏
qiag=0,七
siag=0,巳
tpag=0,屯
wjag=0,万
yiag=0,已
yuag=0,亐
zjag=0,兂
mmah=0,靣
mxah=0,灭
fjaj=0,凣
jiaj=0,茍
ybaj=0,羐
zaaj=0,帀
hwak=0,画
ybak=0,丣
b;an=0,丙
jqao=0,旧
clap=0,才
ihap=0,厂
jqap=0,乆
ovap=0,丆
wuap=0,毋
xdap=0,乡
yaap=0,牙
ynap=0,尹
ldar=0,兩
biat=0,畐
mlat=0,买
huau=0,戸
ldau=0,両
uuau=0,丨
oフav=0,フ
oレav=0,レ
oㄥav=0,ㄥ
ovav=0,乛
vgav=0,正
o朩ax=0,朩
oray=0,爾
yaay=0,亚
bib=0,髲
cgb=0,曽
zgb=0,曾
csb=0,匆
dmb=0,甸
hsb=0,訇
jib=0,曁
jub=0,句
kfb=0,肻
kvb=0,夔
kpb=0,髠
kpb=0,髡
lmb=0,帘
mkb=0,髦
mmb=0,緜
pub=0,普
orb=0,髶
rvb=0,睿
rvb=0,壡
uhb=0,赏
uhb=0,賞
x;b=0,興
xqb=0,髤
xpb=0,旬
ynb=0,冘
yub=0,舆
yub=0,輿
olba=0,皧
baba=0,丷
djba=0,单
dmba=0,典
gvba=0,贵
juba=0,具
keba=0,痾
krba=0,窽
luba=0,卤
ykba=0,疟
rjba=0,髥
x;ba=0,兴
yaba=0,丫
yiba=0,宐
ybba=0,卣
yuba=0,與
viba=0,巵
vuba=0,贮
vvba=0,赘
vvba=0,贅
obb=0,
babb=0,疤
bjbb=0,瘢
bjbb=0,癍
bhbb=0,幚
bkbb=0,窇
bkbb=0,賲
bkbb=0,寳
bkbb=0,寶
bkbb=0,髱
bibb=0,皀
bibb=0,比
bibb=0,疕
bibb=0,毖
bibb=0,疪
bibb=0,皕
bibb=0,赑
bibb=0,痹
bibb=0,痺
bibb=0,贔
bcbb=0,贆
bnbb=0,宾
bnbb=0,賓
bnbb=0,鬂
bnbb=0,鬓
bnbb=0,鬢
b;bb=0,窉
b;bb=0,癝
b;bb=0,癛
b;bb=0,病
b;bb=0,寎
idbb=0,剙
fabb=0,髮
fubb=0,黻
jibb=0,赍
jibb=0,賫
jibb=0,賷
jxbb=0,皆
mibb=0,宓
pabb=0,皅
pkbb=0,疱
pgbb=0,皏
pibb=0,癖
pmbb=0,賆
pcbb=0,皫
slbb=0,赛
slbb=0,賽
ufbb=0,宷
ugbb=0,賸
ovbb=0,冟
tabb=0,它
wgbb=0,齆
pobb=0,皛
subb=0,宿
xtbb=0,穴
